code,name,dict_version
YYB_C,C类营业部,v0-draft-2026-06
YYB_B,B类营业部,v0-draft-2026-06
YYB_A,A类营业部,v0-draft-2026-06
FZJG_A,A类分支机构,v0-draft-2026-06
FZJG_B,B类分支机构,v0-draft-2026-06
ZQYYB,证券营业部,v0-draft-2026-06
FGS,分公司,v0-draft-2026-06
QH_IB,期货IB,v0-draft-2026-06
TG_PRODUCT,投顾产品,v0-draft-2026-06
SSGS_KGZGS,上市公司控股子公司,v0-draft-2026-06
ZGS,子公司,v0-draft-2026-06
